model,k,n_samples,tau,trustworthiness,spectral_gap
virchow2,10,3000,0.7855696231654328,0.9751810483870967,0.0061225295
virchow2,30,3000,0.783398469033091,0.9724739919354839,0.017755806
virchow2,50,3000,0.7865317039049055,0.9775336693548388,0.021090806
virchow2,75,3000,0.7901727094715889,0.9780806451612903,0.02466929
virchow2,100,3000,0.7929737596247732,0.9770112903225806,0.027454257
virchow2,200,3000,0.7987943506413976,0.9800782258064517,0.03543502
uni2,10,3000,0.7768013383591982,0.9351895161290322,0.006394863
uni2,30,3000,0.7867384967667713,0.9566372983870968,0.02074951
uni2,50,3000,0.7823009146873535,0.9620881048387097,0.027698636
uni2,75,3000,0.7859675955001224,0.9637322580645161,0.031341076
uni2,100,3000,0.7880604404849562,0.9692338709677419,0.033269346
uni2,200,3000,0.7914646223993841,0.9730133064516129,0.038352966
conch,10,3000,0.6427014373995632,0.9603864919354839,0.036340117
conch,30,3000,0.650731659819701,0.966661693548387,0.059892178
conch,50,3000,0.6484079952561536,0.9686576612903226,0.07195628
conch,75,3000,0.6433194277133104,0.9690667338709678,0.08316612
conch,100,3000,0.6415586246094653,0.9713195564516129,0.09261215
conch,200,3000,0.6338263427029207,0.9723907258064516,0.12304461
gigapath,10,3000,0.7394543747251077,0.9339280241935484,0.010134101
gigapath,30,3000,0.7791911773744307,0.9524219758064516,0.022068977
gigapath,50,3000,0.7888602838762098,0.960189314516129,0.033643484
gigapath,75,3000,0.7895707544811624,0.9592401209677419,0.046436906
gigapath,100,3000,0.7924941240203114,0.9722215725806451,0.05216962
gigapath,200,3000,0.7981419557577524,0.9699334677419355,0.06945282
musk,10,3000,0.7085382940547725,0.9469044354838709,0.026942194
musk,30,3000,0.708373334249833,0.9562512096774194,0.06309903
musk,50,3000,0.7072589028283425,0.9623127016129033,0.08638197
musk,75,3000,0.7057498440457546,0.9663727822580646,0.102421105
musk,100,3000,0.7048646924474689,0.9616173387096775,0.114890516
musk,200,3000,0.7172757194985926,0.972954435483871,0.1569944
dinov2,10,3000,0.679403561509067,0.9507223790322581,0.040027916
dinov2,30,3000,0.6786615145977374,0.9581709677419354,0.06695843
dinov2,50,3000,0.6829891234738622,0.95566875,0.082354486
dinov2,75,3000,0.6845194931493921,0.9588201612903225,0.0980739
dinov2,100,3000,0.6906535703177544,0.96365625,0.11112183
dinov2,200,3000,0.7087408189638075,0.9660046370967742,0.15702528
